Districts,Males,Females,Sex Ratio (Females per 1000 Males),Rural,Urban,Rural Population (%),Urban Population (%),Households,Total Population_2011,Total Population_2019,Total Visitors 2019,Total Visitors/Total Population
Adilabad,356407,352565,989,541226,167746,76.34,23.66,156683,708972,755637,755901,1.000349374
Bhadradri Kothagudem ,532390,536871,1008,730178,339083,68.29,31.71,279190,1069261,1139641,12817737,11.24717082
Hyderabad,2018575,1924748,954,0,3943323,0,100,849051,3943323,4202876,14121662,3.359999676
Jagtial ,484079,501338,1036,764081,221336,77.54,22.46,253619,985417,1050278,3086115,2.938379172
Jangaon ,283648,282728,997,495019,71357,87.4,12.6,139238,566376,603655,328890,0.544831071
Jayashankar Bhoopalpally,354203,357231,1009,657554,53880,92.43,7.57,189622,711434,758261,662575,0.873808623
Jogulamba Gadwal ,309274,300716,972,546813,63177,89.64,10.36,132261,609990,650140,2008290,3.089011598
Kamareddy ,478389,494236,1033,849003,123622,87.29,12.71,222513,972625,1036644,534,0.000515124
Karimnagar ,504620,501091,993,696727,308984,69.28,30.72,258485,1005711,1071908,77491,0.072292585
Khammam,699124,702515,1005,1084811,316828,77.4,22.6,382929,1401639,1493896,1413440,0.946143507
Komaram Bheem Asifabad,258197,257615,998,428828,86984,83.14,16.86,120420,515812,549763,19189,0.034904131
Mahabubabad ,388058,386491,996,698173,76376,90.14,9.86,195889,774549,825531,152885,0.185195953
Mahbubnagar,745101,741676,995,1178574,308203,79.27,20.73,300508,1486777,1584638,2535255,1.59989537
Mancherial,408272,398765,977,453190,353847,56.15,43.85,206983,807037,860157,269820,0.31368692
Medak ,378654,388774,1027,708574,58854,92.33,7.67,168677,767428,817941,5452570,6.666214311
Medchal ,1246666,1193407,957,209828,2230245,8.6,91.4,593697,2440073,2600681,0,0
Nagarkurnool ,437986,423780,968,773936,87830,89.81,10.19,196261,861766,918488,2093511,2.279301417
Nalgonda,818306,800110,978,1250113,368303,77.24,22.76,401728,1618416,1724942,140918,0.081694341
Nirmal,346721,362697,1046,557736,151682,78.62,21.38,165763,709418,756113,3816778,5.047893635
Nizamabad,768477,802545,1044,1106272,464750,70.42,29.58,369031,1571022,1674428,46334,0.027671539
Peddapalli,399325,396007,992,491319,304013,61.78,38.22,209677,795332,847682,16581,0.019560401
Rajanna Sircilla ,274109,277928,1014,435145,116892,78.83,21.17,138992,552037,588373,16832897,28.60922748
Ranga Reddy,1254184,1192081,950,1026113,1420152,41.95,58.05,563565,2446265,2607281,0,0
Sangareddy ,777235,750393,965,997663,529965,65.31,34.69,329208,1527628,1628178,4553160,2.79647557
Siddipet,504141,507924,1008,873013,139052,86.26,13.74,238049,1012065,1078680,2987864,2.769926206
Suryapet,550974,548586,996,928521,171039,84.44,15.56,285691,1099560,1171934,0,0
Vikarabad,463350,463790,1001,802171,124969,86.52,13.48,194956,927140,988165,0,0
Wanaparthy ,294833,282925,960,485470,92288,84.03,15.97,123544,577758,615787,298639,0.484971264
Warangal (Rural),360315,358222,994,668324,50213,93.01,6.99,187525,718537,765832,353500,0.461589487
Warangal (Urban),541301,539557,997,340351,740507,31.49,68.51,269180,1080858,1152001,1797680,1.560484757
Yadadri Bhongir,374719,364729,973,616283,123165,83.34,16.66,180677,739448,788119,4489374,5.696314897
